business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
L & G Vietnamese Sandwich	602 Eddy St	San Francisco	CA	94109			+14155886402	80591_20170109	2017-01-09	66.0	Routine - Unscheduled	80591_20170109_103114	High risk vermin infestation	High Risk
Las Palmeras	2721 Mission St	San Francisco	CA	94110	37.753463	-122.418536		18047_20170126	2017-01-26	72.0	Routine - Unscheduled	18047_20170126_103139	Improper food storage	Low Risk
Panchitas Restaurant	3091 16th St	San Francisco	CA	94103	37.764903	-122.42159004079		19003_20170802	2017-08-02		Reinspection/Followup			
Pizzelle Di North Beach	314 Columbus Ave	San Francisco	CA	94133	37.798065	-122.406855		39693_20160518	2017-05-18	86.0	Routine - Unscheduled	39693_20160518_103131	Moderate risk vermin infestation	Moderate Risk
Tycoon Cafe & Restaurant	620 O'Farrell St	San Francisco	CA	94109				81894_20160201	2017-02-01	77.0	Routine - Unscheduled	81894_20160201_103133	Foods not protected from contamination	Moderate Risk
Mee Mee Bakery	1328 Stockton St	San Francisco	CA	94133	37.797935	-122.408581		7856_20161207	2017-12-07	84.0	Routine - Unscheduled	7856_20161207_103131	Moderate risk vermin infestation	Moderate Risk
PPQ Beef Noodle House	1816 IRVING St	San Francisco	CA	94122	37.763603	-122.477497		38808_20160331	2017-03-31		Reinspection/Followup			
NEW WING HING SEAFOOD MARKET	2222 CLEMENT St	San Francisco	CA	94121	37.782118	-122.483191		7537_20170509	2017-05-09	83.0	Routine - Unscheduled	7537_20170509_103109	Unclean or unsanitary food contact surfaces	High Risk
The Salvation Army	240 Turk St	San Francisco	CA	94102	37.782938	-122.413133		37732_20160907	2017-09-07		Reinspection/Followup			
Marina Theatre	2149 Chestnut St	San Francisco	CA	94123	37.800483	-122.438567		36523_20160329	2017-03-29	85.0	Routine - Unscheduled	36523_20160329_103129	Insufficient hot water or running water	Moderate Risk
Cafe Creme de Hayes Valley	50 Oak St  Basement	San Francisco	CA	94102	37.775379	-122.420136		69595_20170428	2017-04-28	87.0	Routine - Unscheduled	69595_20170428_103104	Unauthorized or unsafe use of time as a public health control measure	High Risk
